! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
CH2           O2                          CO            H2O                                                        126  20   2.480e-10   -3.300e+00    1.440e+03    0.000e+00    1.828e+03  ---------
CH2           S                           HCS           H                                                          127  20   1.000e-10    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
CH2           S                           CS            H2                                                         128  20   1.000e-10    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
NH            NH                          N2            H             H                                            129  20   1.160e-09    0.000e+00    0.000e+00    0.000e+00    2.980e+02  ---------
NH            NH                          N2            H2                                                         130  20   1.700e-11    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
NH            NH                          NH2           N                                                          131  20   1.030e-14    3.070e+00   -1.120e+03    3.000e+02    3.000e+03  ---------
NH            O                           OH            N                                                          132  20   1.160e-11    0.000e+00    0.000e+00    0.000e+00    3.000e+03  ---------
NH            O                           NO            H                                                          133  20   1.160e-10    0.000e+00    0.000e+00    0.000e+00    3.000e+03  ---------
NH            CH4                         CH3           NH2                                                        134  20   6.630e-16    6.130e+00    5.900e+03    0.000e+00    2.000e+03  ---------
NH            OH                          NH2           O                                                          135  20   2.930e-12    1.000e-01    5.800e+03    0.000e+00    3.000e+03  ---------
NH            OH                          H2O           N                                                          136  20   3.110e-12    1.200e+00    0.000e+00    0.000e+00    3.000e+03  ---------
NH            NH3                         NH2           NH2                                                        137  20   5.250e-10    0.000e+00    1.350e+04    0.000e+00    1.700e+03  ---------
NH            H2O                         OH            NH2                                                        138  20   1.830e-12    1.600e+00    1.410e+04    0.000e+00    3.000e+03  ---------
NH            CN                          HCN           N                                                          139  20   2.940e-12    5.000e-01    1.000e+03    0.000e+00    3.000e+02  ---------
NH            NO                          N2            O             H                                            140  20   5.000e-11    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
NH            NO                          N2            OH                                                         141  20   1.460e-11   -5.800e-01    3.700e+01    0.000e+00    4.000e+03  ---------
NH            S                           HS            N                                                          142  20   1.730e-11    5.000e-01    4.000e+03    0.000e+00    3.000e+02  ---------
CH3           CH3                         CH4           CH2                                                        143  20   7.130e-12    0.000e+00    5.050e+03    0.000e+00    2.300e+03  ---------
CH3           O                           H2CO          H                                                          144  20   1.300e-10    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
CH3           O                           CO            H2            H                                            145  20   3.600e-11    0.000e+00    2.020e+02    0.000e+00    9.250e+02  ---------
CH3           NH2                         CH2           NH3                                                        146  20   4.760e-17    5.770e+00   -1.510e+02    0.000e+00    2.000e+03  ---------
CH3           OH                          CH4           O                                                          147  20   3.270e-14    2.200e+00    2.240e+03    0.000e+00    2.500e+03  ---------
CH3           OH                          H2O           CH2                                                        148  20   1.200e-10    0.000e+00    1.400e+03    0.000e+00    1.000e+03  ---------
CH3           OH                          H2CO          H2                                                         149  22   1.700e-12    0.000e+00    0.000e+00    7.000e+02    7.000e+02  ---------
CH3           NH3                         CH4           NH2                                                        150  20   9.550e-14    0.000e+00    4.890e+03    0.000e+00    2.500e+03  ---------
CH3           H2O                         OH            CH4                                                        151  20   2.300e-15    3.470e+00    6.680e+03    0.000e+00    3.000e+03  ---------
CH3           CN                          HCN           CH2                                                        152  20   9.210e-12    7.000e-01    1.500e+03    0.000e+00    3.000e+02  ---------
CH3           HCO                         CO            CH4                                                        153  20   2.000e-10    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
CH3           NO                          HCN           H2O                                                        154  20   4.000e-12    0.000e+00    7.900e+03    0.000e+00    2.080e+03  ---------
CH3           H2CO                        HCO           CH4                                                        155  20   1.340e-15    5.050e+00    1.640e+03    0.000e+00    2.500e+03  ---------
CH3           O2                          HCO           H2O                                                        156  22   1.660e-12    0.000e+00    0.000e+00    1.700e+03    2.000e+03  ---------
CH3           O2                          H2CO          OH                                                         157  20   5.640e-13    0.000e+00    4.500e+03    0.000e+00    3.000e+03  ---------
CH3           S                           H2CS          H                                                          158  20   1.400e-10    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
CH3           H2S                         HS            CH4                                                        159  20   3.300e-13    0.000e+00    1.100e+03    0.000e+00    2.500e+03  ---------
O             NH2                         OH            NH                                                         160  20   1.390e-11    0.000e+00    4.000e+01    0.000e+00    3.000e+03  ---------
O             NH2                         NO            H2                                                         161  20   8.300e-12    0.000e+00    0.000e+00    0.000e+00    3.000e+03  ---------
O             CH4                         OH            CH3                                                        162  20   2.290e-12    2.200e+00    3.820e+03    0.000e+00    2.500e+03  ---------
O             OH                          O2            H                                                          163  20   1.770e-11    0.000e+00   -1.780e+02    1.580e+02    5.000e+03  ---------
O             NH3                         OH            NH2                                                        164  20   1.890e-11    0.000e+00    4.000e+03    0.000e+00    2.500e+03  ---------
O             H2O                         OH            OH                                                         165  20   1.850e-11    9.500e-01    8.570e+03    0.000e+00    2.500e+03  ---------
O             CN                          NO            C                                                          166  20   3.810e-11    5.000e-01    1.450e+04    0.000e+00    4.100e+04  ---------
O             CN                          CO            N                                                          167  20   4.360e-11    4.600e-01    3.640e+02    0.000e+00    5.000e+03  ---------
O             HCN                         CN            OH                                                         168  20   6.210e-10    0.000e+00    1.240e+04    0.000e+00    4.000e+03  ---------
O             HCN                         CO            NH                                                         169  20   7.300e-13    1.140e+00    3.740e+03    0.000e+00    2.600e+03  ---------
O             N2                          NO            N                                                          170  20   2.510e-10    0.000e+00    3.860e+04    0.000e+00    4.700e+03  ---------
O             HCO                         CO2           H                                                          171  20   5.000e-11    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
O             HCO                         CO            OH                                                         172  20   5.000e-11    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
O             SiH                         SiO           H                                                          173  20   1.000e-10    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
O             NO                          O2            N                                                          174  20   1.180e-11    0.000e+00    2.040e+04    0.000e+00    5.000e+03  ---------
O             H2CO                        CO            OH            H                                            175  22   1.000e-10    0.000e+00    0.000e+00    1.750e+03    2.575e+03  ---------
O             H2CO                        HCO           OH                                                         176  20   1.070e-11    1.170e+00    1.240e+03    0.000e+00    2.500e+03  ---------
O             HS                          S             OH                                                         177  20   1.740e-11    6.700e-01    9.560e+02    0.000e+00    2.500e+03  ---------
O             HS                          SO            H                                                          178  20   8.250e-11    1.700e-01   -2.540e+02    2.980e+02    2.000e+03  ---------
O             H2S                         HS            OH                                                         179  20   2.980e-12    1.620e+00    1.460e+03    0.000e+00    2.000e+03  ---------
O             CO2                         O2            CO                                                         180  20   2.460e-11    0.000e+00    2.660e+04    0.000e+00    6.000e+03  ---------
O             CS                          S             CO                                                         181  20   2.480e-10   -6.500e-01    7.830e+02    0.000e+00    9.060e+02  ---------
O             CS                          SO            C                                                          182  20   4.680e-11    5.000e-01    2.890e+04    0.000e+00    4.100e+04  ---------
O             HCS                         OCS           H                                                          183  20   5.000e-11    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
O             HCS                         OH            CS                                                         184  20   5.000e-11    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
O             SO                          S             O2                                                         185  20   6.600e-13    0.000e+00    2.760e+03    0.000e+00    3.000e+02  ---------
O             OCS                         CO2           S                                                          186  20   8.300e-11    0.000e+00    5.530e+03    0.000e+00    1.900e+03  ---------
O             OCS                         SO            CO                                                         187  20   1.600e-11    0.000e+00    2.150e+03    0.000e+00    2.500e+03  ---------
O             SO2                         SO            O2                                                         188  20   9.010e-12    0.000e+00    9.840e+03    0.000e+00    3.760e+03  ---------
NH2           CH4                         CH3           NH3                                                        189  20   2.900e-13    2.870e+00    5.380e+03    0.000e+00    2.500e+03  ---------
NH2           OH                          NH3           O                                                          190  20   2.080e-13    7.600e-01    2.620e+02    0.000e+00    2.500e+03  ---------
NH2           OH                          H2O           NH                                                         191  20   7.780e-13    1.500e+00   -2.300e+02    2.500e+02    3.000e+03  ---------
NH2           NO                          N2            OH            H                                            192  22   1.490e-12    0.000e+00    0.000e+00    1.500e+03    2.150e+03  ---------
NH2           NO                          N2            H2O                                                        193  20   4.270e-11   -2.500e+00    3.310e+02    0.000e+00    3.000e+03  ---------
CH4           OH                          H2O           CH3                                                        194  20   3.770e-13    2.420e+00    1.160e+03    0.000e+00    3.000e+03  ---------
CH4           CN                          HCN           CH3                                                        195  20   3.140e-12    1.530e+00    5.040e+02    0.000e+00    2.500e+03  ---------
CH4           S                           HS            CH3                                                        196  20   3.390e-10    0.000e+00    1.000e+04    0.000e+00    1.480e+03  ---------
OH            OH                          H2O           O                                                          197  20   1.650e-12    1.140e+00    5.000e+01    0.000e+00    2.500e+03  ---------
OH            NH3                         H2O           NH2                                                        198  20   1.470e-13    2.050e+00    7.000e+00    0.000e+00    3.000e+03  ---------
OH            CN                          HCN           O                                                          199  20   1.000e-11    0.000e+00    1.000e+03    0.000e+00    2.500e+03  ---------
OH            HCN                         CN            H2O                                                        200  20   1.870e-13    1.500e+00    3.890e+03    0.000e+00    2.840e+03  ---------
OH            HCN                         CO            NH2                                                        201  20   1.070e-13    0.000e+00    5.890e+03    0.000e+00    2.500e+03  ---------
OH            CO                          CO2           H                                                          202  20   2.810e-13    0.000e+00    1.760e+02    0.000e+00    3.150e+03  ---------
OH            Si                          SiO           H                                                          203  20   1.000e-10    0.000e+00    0.000e+00    0.000e+00    3.560e+03  ---------
OH            HCO                         CO            H2O                                                        204  20   1.700e-10    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
OH            H2CO                        HCO           H2O                                                        205  20   2.220e-12    1.420e+00   -4.160e+02    2.000e+02    3.000e+03  ---------
OH            S                           SO            H                                                          206  20   6.600e-11    0.000e+00    0.000e+00    0.000e+00    2.980e+02  ---------
OH            H2S                         HS            H2O                                                        207  20   6.300e-12    0.000e+00    8.000e+01    0.000e+00    2.500e+03  ---------
OH            CS                          OCS           H                                                          208  20   9.390e-14    1.120e+00    8.000e+02    0.000e+00    3.000e+02  ---------
OH            SO                          SO2           H                                                          209  20   8.600e-11    0.000e+00    0.000e+00    0.000e+00    2.980e+02  ---------
NH3           CN                          HCN           NH2                                                        210  21   3.410e-11   -9.000e-01   -9.900e+00    2.500e+01    7.610e+02  ---------
CN            HCO                         CO            HCN                                                        211  20   1.000e-10    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
CN            NO                          N2            CO                                                         212  20   1.600e-13    0.000e+00    0.000e+00    0.000e+00    1.500e+03  ---------
CN            H2CO                        HCO           HCN                                                        213  20   2.600e-10   -4.700e-01    8.260e+02    0.000e+00    2.500e+03  ---------
CN            O2                          NO            CO                                                         214  20   5.010e-12   -4.600e-01   -8.000e+00    0.000e+00    1.565e+03  ---------
CO            O2                          CO2           O                                                          215  20   5.990e-12    0.000e+00    2.410e+04    0.000e+00    6.000e+03  ---------
CO            HS                          OCS           H                                                          216  20   5.950e-14    1.120e+00    8.330e+03    0.000e+00    2.000e+03  ---------
Si            CO                          SiO           C                                                          217  20   1.300e-09    0.000e+00    3.450e+04    0.000e+00    5.190e+03  ---------
Si            NO                          SiO           N                                                          218  20   9.000e-11   -9.600e-01    2.800e+01    0.000e+00    3.000e+02  ---------
Si            O2                          SiO           O                                                          219  20   1.720e-10   -5.300e-01    1.700e+01    0.000e+00    3.000e+02  ---------
Si            CO2                         SiO           CO                                                         220  20   2.720e-11    0.000e+00    2.820e+02    0.000e+00    3.160e+03  ---------
HCO           HCO                         CO            CO            H2                                           221  22   3.630e-11    0.000e+00    0.000e+00    3.030e+02    3.760e+02  ---------
HCO           HCO                         H2CO          CO                                                         222  20   3.000e-11    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
HCO           O2                          CO2           OH                                                         223  20   7.600e-13    0.000e+00    0.000e+00    0.000e+00    2.980e+02  ---------
NO            NO                          O2            N2                                                         224  20   2.510e-11    0.000e+00    3.070e+04    0.000e+00    4.700e+03  ---------
NO            S                           SO            N                                                          225  20   1.750e-10    0.000e+00    2.020e+04    0.000e+00    3.870e+03  ---------
O2            S                           SO            O                                                          226  20   4.740e-13    1.410e+00   -4.390e+02    2.000e+02    3.460e+03  ---------
O2            SO                          SO2           O                                                          227  20   1.100e-14    1.890e+00    1.540e+03    0.000e+00    2.980e+03  ---------
S             SO2                         SO            SO                                                         228  20   9.760e-12    0.000e+00    4.540e+03    0.000e+00    1.600e+03  ---------
HS            HS                          H2S           S                                                          229  20   1.300e-11    0.000e+00    0.000e+00    0.000e+00    2.500e+03  ---------
O             OH                          O2            H                                                          230  20   3.500e-11    0.000e+00    0.000e+00    0.000e+00   -1.580e+02  ---------
NH            O2                          NO            OH                                                         231  20   2.540e-14    1.180e+00    3.120e+02    0.000e+00    3.300e+03  ---------
CH            NO                          CO            NH                                                         232  20   1.990e-10    0.000e+00    0.000e+00    0.000e+00    2.980e+02  ---------
H             CH+                         C+            H2                                                         233  20   7.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            CH2                         CH+           H2                                                         234  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             CH2+                        CH+           H2                                                         235  20   1.000e-09    0.000e+00    7.080e+03    0.000e+00    3.000e+02  ---------
H             CH3+                        CH2+          H2                                                         236  20   7.000e-10    0.000e+00    1.060e+04    0.000e+00    4.100e+04  ---------
H+            CH4                         CH3+          H2                                                         237  20   2.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             CH4+                        CH3+          H2                                                         238  20   1.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             CH5+                        CH4+          H2                                                         239  20   1.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            HCO                         CO+           H2                                                         240  20   9.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            HCO                         CO            H2+                                                        241  20   9.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            SiH                         Si+           H2                                                         242  20   1.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             SiH+                        Si+           H2                                                         243  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            H2CO                        CO+           H2            H                                            244  20   1.060e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            H2CO                        HCO+          H2                                                         245  20   3.570e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            HS                          S+            H2                                                         246  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             HS+                         S+            H2                                                         247  20   1.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            H2S                         HS+           H2                                                         248  20   9.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            H2S                         S+            H2            H                                            249  20   3.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             H2S+                        HS+           H2                                                         250  20   2.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             H3S+                        H2S+          H2                                                         251  20   6.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            CO2                         HCO+          O                                                          252  20   3.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             CO2+                        HCO+          O                                                          253  20   2.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            HCS                         CS+           H2                                                         254  20   4.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            OCS                         HS+           CO                                                         255  20   2.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             SO2+                        SO+           OH                                                         256  20   4.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           H2                          H3+           H                                                          257  20   2.080e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            He+                         He            H+            H                                            258  20   3.700e-14    0.000e+00    3.500e+01    0.000e+00    3.000e+02  ---------
H2+           C                           CH+           H                                                          259  20   2.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            C+                          CH+           H                                                          260  20   1.000e-10    0.000e+00    4.640e+03    0.000e+00    3.000e+03  ---------
H2+           CH                          CH2+          H                                                          261  20   7.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            CH+                         CH2+          H                                                          262  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           N                           NH+           H                                                          263  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            N+                          NH+           H                                                          264  20   1.000e-09    0.000e+00    8.500e+01    0.000e+00    3.000e+02  ---------
H2+           CH2                         CH3+          H                                                          265  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            CH2+                        CH3+          H                                                          266  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            NH+                         N             H3+                                                        267  20   2.250e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           NH                          NH2+          H                                                          268  20   7.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            NH+                         NH2+          H                                                          269  20   1.280e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           O                           OH+           H                                                          270  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            O+                          OH+           H                                                          271  20   1.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            NH2+                        NH3+          H                                                          272  20   2.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           CH4                         CH5+          H                                                          273  20   1.140e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            CH4+                        CH5+          H                                                          274  20   3.300e-11    0.000e+00    0.000e+00    3.000e+02    4.100e+04  ---------
H2            CH4+                        CH5+          H                                                          275  20   3.400e-11   -1.350e+00    2.300e+01    0.000e+00   -3.000e+02  ---------
H2+           CH4                         CH3+          H2            H                                            276  20   2.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           OH                          H2O+          H                                                          277  20   7.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            OH+                         H2O+          H                                                          278  20   1.010e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           H2O                         H3O+          H                                                          279  20   3.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            H2O+                        H3O+          H                                                          280  20   6.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           CN                          HCN+          H                                                          281  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            CN+                         HCN+          H                                                          282  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            HCN+                        HCNH+         H                                                          283  20   9.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           CO                          HCO+          H                                                          284  20   2.160e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            CO+                         HCO+          H                                                          285  20   7.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           N2                          HN2+          H                                                          286  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           HCO                         CO            H3+                                                        287  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           H2CO                        HCO+          H2            H                                            288  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            S+                          HS+           H                                                          289  20   1.100e-10    0.000e+00    9.860e+03    0.000e+00    4.100e+04  ---------
H2            HS+                         H2S+          H                                                          290  20   2.000e-10    0.000e+00    6.380e+03    0.000e+00    3.000e+02  ---------
H2+           H2S                         S+            H2            H2                                           291  20   7.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           H2S                         HS+           H2            H                                            292  20   8.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            H2S+                        H3S+          H                                                          293  20   6.000e-10    0.000e+00    2.900e+03    0.000e+00    3.000e+02  ---------
H2            CS+                         HCS+          H                                                          294  20   4.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            SiO+                        SiOH+         H                                                          295  20   3.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            SO2+                        HSO2+         H                                                          296  20   5.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           C                           CH+           H2                                                         297  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           CH                          CH2+          H2                                                         298  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           CH2                         CH3+          H2                                                         299  20   1.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           NH                          NH2+          H2                                                         300  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           CH3                         CH4+          H2                                                         301  20   2.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           O                           OH+           H2                                                         302  20   8.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           O                           H2O+          H                                                          303  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           NH2                         NH3+          H2                                                         304  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           CH4                         CH5+          H2                                                         305  20   2.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           OH                          H2O+          H2                                                         306  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           H2O                         H3O+          H2                                                         307  20   5.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           Mg                          Mg+           H2            H                                            308  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           CN                          HCN+          H2                                                         309  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           HCN                         HCNH+         H2                                                         310  20   8.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           CO                          HCO+          H2                                                         311  20   1.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           N2                          HN2+          H2                                                         312  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           Si                          SiH+          H2                                                         313  20   3.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           SiH                         SiH2+         H2                                                         314  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           S                           HS+           H2                                                         315  20   2.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           HS                          H2S+          H2                                                         316  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           H2S                         H3S+          H2                                                         317  20   3.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           CS                          HCS+          H2                                                         318  20   2.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           SiO                         SiOH+         H2                                                         319  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           HCS                         H2CS+         H2                                                         320  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           H2CS                        H3CS+         H2                                                         321  20   2.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           SO                          HSO+          H2                                                         322  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           Fe                          Fe+           H2            H                                            323  20   4.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           OCS                         HOCS+         H2                                                         324  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           SO2                         HSO2+         H2                                                         325  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH                          C+            He            H                                            326  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH2                         C+            He            H2                                           327  20   7.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH2                         CH+           He            H                                            328  20   7.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           NH                          N+            He            H                                            329  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH3                         CH+           He            H2                                           330  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           NH2                         N+            He            H2                                           331  20   8.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           NH2                         NH+           He            H                                            332  20   8.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH4                         CH+           He            H2            H                              333  20   2.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH4                         CH2+          He            H2                                           334  20   9.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH4                         CH3           He            H+                                           335  20   4.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CH4                         CH3+          He            H                                            336  20   8.500e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           OH                          O+            He            H                                            337  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           NH3                         NH+           He            H2                                           338  20   1.760e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           NH3                         NH2+          He            H                                            339  20   1.760e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           H2O                         OH            He            H+                                           340  20   2.040e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           H2O                         OH+           He            H                                            341  20   2.860e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CN                          N             C+            He                                           342  20   8.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CN                          N+            C             He                                           343  20   8.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           HCN                         N             CH+           He                                           344  20   6.510e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           HCN                         N+            CH            He                                           345  20   2.170e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           HCN                         N             C+            He            H                              346  20   7.750e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           HCN                         CN+           He            H                                            347  20   1.460e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CO                          O             C+            He                                           348  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           CO                          O             C+            He                                           349  20   1.400e-09   -5.000e-01    0.000e+00    2.000e+08    1.000e+09  ---------
He+           N2                          N+            N             He                                           350  20   9.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           HCO                         O             CH+           He                                           351  20   4.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           HCO                         CO+           He            H                                            352  20   4.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
