! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
OCS+            0.0e+00      60 +1  0  0  1  0  1  0  0  1  0  0
HOCS+           0.0e+00      61 +1  1  0  1  0  1  0  0  1  0  0
S2+             0.0e+00      64 +1  0  0  0  0  0  0  0  2  0  0
HN2+            0.0e+00      29 +1  1  0  0  2  0  0  0  0  0  0
HS2+            0.0e+00      65 +1  1  0  0  0  0  0  0  2  0  0
e-              0.0e+00       0 -1  0  0  0  0  0  0  0  0  0  0
PAH0            6.0e-07     500  0  0  0  0  0  0  0  0  0  0  1
PAH+            0.0e+00     500 +1  0  0  0  0  0  0  0  0  0  1
PAH-            0.0e+00     500 -1  0  0  0  0  0  0  0  0  0  1
PAH_H           0.0e+00     501  0  1  0  0  0  0  0  0  0  0  1
JC              0.0e+00      12  0  0  0  1  0  0  0  0  0  0  0
JN              0.0e+00      14  0  0  0  0  1  0  0  0  0  0  0
JO              0.0e+00      16  0  0  0  0  0  1  0  0  0  0  0
JCH             0.0e+00      13  0  1  0  1  0  0  0  0  0  0  0
JCH2            0.0e+00      14  0  2  0  1  0  0  0  0  0  0  0
JNH             0.0e+00      15  0  1  0  0  1  0  0  0  0  0  0
JCH3            0.0e+00      15  0  3  0  1  0  0  0  0  0  0  0
JNH2            0.0e+00      16  0  2  0  0  1  0  0  0  0  0  0
JCH4            0.0e+00      16  0  4  0  1  0  0  0  0  0  0  0
JOH             0.0e+00      17  0  1  0  0  0  1  0  0  0  0  0
JNH3            0.0e+00      17  0  3  0  0  1  0  0  0  0  0  0
JH2O            0.0e+00      18  0  2  0  0  0  1  0  0  0  0  0
JCO             0.0e+00      28  0  0  0  1  0  1  0  0  0  0  0
JCO2            0.0e+00      44  0  0  0  1  0  2  0  0  0  0  0
!
! chemical reaction network: this table may contain comments, that start with "!" in the first character
!
! n_reactions
1379
!
!e1           e2            e3            p1            p2            p3            p4            p5               nr  type  a            b            c            temp_min     temp_max   pd-data
H2*           C                           CH            H                                                         1438  92   6.640e-10    0.000e+00    1.170e+04    0.000e+00    2.500e+03  ---------
H2*           CH                          CH2           H                                                         1439  92   5.460e-10    0.000e+00    1.940e+03    0.000e+00    2.500e+03  ---------
H2*           N                           NH            H                                                         1440  92   1.690e-09    0.000e+00    1.810e+04    0.000e+00    2.850e+03  ---------
H2*           CH2                         CH3           H                                                         1441  92   5.180e-11    1.700e-01    6.400e+03    0.000e+00    2.500e+03  ---------
H2*           NH                          NH2           H                                                         1442  92   5.960e-11    0.000e+00    7.780e+03    0.000e+00    2.788e+03  ---------
H2*           CH3                         CH4           H                                                         1443  92   6.860e-14    2.740e+00    4.740e+03    0.000e+00    2.500e+03  ---------
H2*           O                           OH            H                                                         1444  92   3.140e-13    2.700e+00    3.150e+03    0.000e+00    3.532e+03  ---------
H2*           NH2                         NH3           H                                                         1445  92   2.050e-15    3.890e+00    1.400e+03    0.000e+00    2.500e+03  ---------
H2*           OH                          H2O           H                                                         1446  92   2.050e-12    1.520e+00    1.740e+03    0.000e+00    2.581e+03  ---------
H2*           CN                          HCN           H                                                         1447  92   4.040e-13    2.870e+00    8.200e+02    0.000e+00    3.500e+03  ---------
H2*           S                           HS            H                                                         1448  92   1.760e-13    2.880e+00    6.130e+03    0.000e+00    3.137e+03  ---------
H2*           HS                          H2S           H                                                         1449  92   6.520e-12    9.000e-02    8.050e+03    0.000e+00    3.000e+02  ---------
H2*           He+                         He            H+            H                                           1450  92   3.700e-14    0.000e+00    3.500e+01    0.000e+00    3.000e+02  ---------
H2*           C+                          CH+           H                                                         1451  92   1.000e-10    0.000e+00    4.640e+03    0.000e+00    3.000e+03  ---------
H2*           N+                          NH+           H                                                         1452  92   1.000e-09    0.000e+00    8.500e+01    0.000e+00    3.000e+02  ---------
H2*           CH4+                        CH5+          H                                                         1453  92   3.400e-11   -1.350e+00    2.300e+01    0.000e+00   -3.000e+02  ---------
H2*           S+                          HS+           H                                                         1454  92   1.100e-10    0.000e+00    9.860e+03    0.000e+00    4.100e+04  ---------
H2*           HS+                         H2S+          H                                                         1455  92   2.000e-10    0.000e+00    6.380e+03    0.000e+00    3.000e+02  ---------
H2*           H2S+                        H3S+          H                                                         1456  92   6.000e-10    0.000e+00    2.900e+03    0.000e+00    3.000e+02  ---------
H2*           CH                          CH3                                                                     1457  92   5.090e-18   -7.100e-01    1.160e+01    0.000e+00    3.000e+02  ---------
H2*           CH                          CH3           M                                                         1458  92   3.790e-30   -1.840e+00    6.540e+01    0.000e+00    7.400e+02  ---------
H2*                                       H2                                                                      1437  91   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO            CRPHOT                      CO+           e-                                                        1285  43   2.400e-17    7.360e-18    2.210e-18    0.000e+00    4.100e+04  ---------
H             CRPHOT                      H+            e-                                                        1286  43   2.210e-18    7.360e-18    2.210e-18    0.000e+00    4.100e+04  ---------
H2            CRPHOT                      H2+           e-                                                        1287  43   7.360e-18    7.360e-18    2.210e-18    0.000e+00    4.100e+04  ---------
CO            CRPHOT                      C             O                                                         1284  42   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
